id;dmc;vul;id comuna
1;1115.242; 0.1620665;15202
2;981.162; 0.19286969;15201
3;2552.889; 0.36963592;15101
4;1529.791; 0.16600643;15102
5;4559.848; 0.20252073;1403
6;939.986; 0.16204188;1402
7;2122.103; 0.15980576;1404
8;2686.492; 0.31811274;1101
9;3384.328; 0.16145614;1401
10;2610.317; 0.32066863;1107
11;1962.693; 0.15132879;1405
12;3225.806; 0.11680783;2202
13;1915.127; 0.13672654;2301
14;2289.048; 0.11167891;2302
15;3221.894; 0.28021806;2201
16;12275.785; 0.12029739;2103
17;2015.160; 0.1903013;2203
18;2287.751; 0.13199982;2102
19;2283.258; 0.4362385;2101
20;1721.530; 0.11735189;2104
21;3036.082; 0.1332572;3201
22;1577.421; 0.08452219;3202
23;4127.418; 0.13609392;3102
24;1720.730; 0.12431086;5201
25;2560.969; 0.24641441;3101
26;3541.421; 0.14821233;3103
27;1972.938; 0.11935885;3304
28;1092.685; 0.13621367;3303
29;2108.166; 0.19680461;3301
30;745.622; 0.11531686;3302
31;2822.850; 0.15108619;4104
32;2311.764; 0.3152957;4101
33;2346.324; 0.33934282;4102
34;1426.139; 0.13950769;4105
35;2007.487; 0.16158211;4106
36;1623.267; 0.11544399;4103
37;736.818; 0.1149819;4305
38;2257.485; 0.20839831;4301
39;1075.434; 0.15307216;4303
40;1132.869; 0.12960107;4304
41;958.006; 0.12530666;4302
42;1363.112; 0.12769655;4202
43;1053.143; 0.11839832;4201
44;1539.242; 0.11242557;4202
45;2349.106; 0.15360835;4203
46;650.514; 0.12658302;5404
47;1051.362; 0.1104741;5402
48;1385.209; 0.14962049;5401
49;1263.623; 0.12924256;5403
50;2367.586; 0.0923224;5404
51;1035.718; 0.13847671;5705
52;4778.949; 0.1654748;5105
53;1767.398; 0.12595916;5506
54;1096.728; 0.1198901;5706
55;2210.625; 0.17684766;5701
56;1407.360; 0.11660214;5704
57;1433.923; 0.12299955;5702
58;3263.802; 0.17225884;5107
59;1745.061; 0.15657183;5502
60;1367.238; 0.128612111;5503
61;1158.956; 0.10760531;5304
62;776.677; 0.09959033;5504
63;2564.065; 0.13617641;5301
64;1580.940; 0.13226718;5703
65;1749.121; 0.10895566;5303
66;1468.094; 0.10643707;5302
67;1585.497; 0.17046867;5501
68;2369.578; 0.12161832;5103
69;1552.308; 0.14132276;5803
70;1639.409; 0.13893213;5802
71;2367.698; 0.3642639;5109
72;2794.707; 0.44995241;5101
73;1431.697; 0.17257537;5804
74;1702.916; 0.207191663;5801
75;1815.459; 0.10033018;13303
76;1741.174; 0.22603525;13301
77;1859.576; 0.19632933;13302
78;2455.589; 0.1123076;5102
79;977.896; 0.1033495;13115
80;1703.034; 0.26551709;13125
81;2052.513; 0.18516425;13107
82;4071.994; 0.13189653;5602
83;2154.532; 0.23025942;13104
84;2496.646; 0.06485904;13132
85;1926.412; 0.14143314;13503
86;1948.719; 0.23809727;13128
87;3482.850; 0.34666421;13127
88;4292.571; 0.16388879;5604
89;2236.230; 0.26184247;13108
90;1893.419; 0.12727545;13114
91;1773.057; 0.2510021;13103
92;3161.615; 0.26394755;13126
93;6235.146; 0.19027641;13123
94;2138.975; 0.30663942;13124
95;2290.999; 0.11276901;13113
96;2519.955; 0.23682785;13117
97;4872.546; 0.72364921;13101
98;4106.998; 0.16604258;5605
99;2555.138; 0.21577216;13120
100;3449.353; 0.33272019;13106
101;1709.597; 0.2575444;13122
102;2387.674; 0.17772338;13118
103;2175.669; 0.22711648;13121
104;2407.815; 0.20630739;13129
105;3366.517; 0.18884659;13130
106;3426.517; 0.19471543;13102
107;1754.700; 0.42690665;13119
108;978.921; 0.11718861;13504
109;2274.456; 0.23235258;13116
110;2139.926; 0.34826749;13110
111;3781.351; 0.19859595;13109
112;2149.872; 0.2352068;13111
113;3563.534; 0.18861233;5603
114;2174.168; 0.20593184;13131
115;1754.663; 0.24690789;13105
116;1404.771; 0.14568808;13604
117;1681.800; 0.3009438;13112
118;2353.312; 0.39264777;13401
119;1537.341; 0.51092256;13201
120;1420.667; 0.15010452;13605
121;1795.046; 0.11356574;13403
122;799.069; 0.10588056;13202
123;931.099; 0.09897199;5104
124;2200.617; 0.12473373;13203
125;1610.411; 0.10229369;5606
126;1961.486; 0.15992468;13601
127;2467.317; 0.19322926;5601
128;1287.064; 0.1564034;13602
129;1718.607; 0.20691218;13501
130;1967.061; 0.18766123;13402
131;1216.327; 0.13936615;13603
132;1505.381; 0.19294158;13404
133;1531.693; 0.11862669;13505
134;1565.391; 0.12153418;6205
135;3327.983; 0.1460345;6110
136;1676.055; 0.12359686;6102
137;823.637; 0.08788158;13502
138;2276.010; 0.1328385;6106
139;2447.196; 0.11730138;6203
140;2576.709; 0.31270956;6101
141;1362.036; 0.09720485;6108
142;1025.906; 0.10002106;6105
143;1222.258; 0.07236924;6202
144;1409.210; 0.10798451;6111
145;1259.604; 0.11136122;6103
146;1630.907; 0.10476663;6116
147;1422.131; 0.12181301;6107
148;805.524; 0.11211348;6104
149;794.495; 0.12375026;6114
150;773.750; 0.12131476;6113
151;1152.949; 0.10630336;6112
152;2989.056; 0.145165;6201
153;1002.735; 0.1171307;6204
154;2094.677; 0.1563033;6115
155;1166.583; 0.13314781;6117
156;1544.402; 0.12690787;6109
157;789.889; 0.12090578;6307
158;787.636; 0.1150255;6306
159;1993.397; 0.1800726;6301
160;1388.495; 0.12351647;6309
161;1213.697; 0.11731203;6308
162;1790.660; 0.13152736;6310
163;1141.227; 0.12645852;6206
164;1624.178; 0.13201809;6305
165;1393.079; 0.14068506;6303
166;813.008; 0.12333559;6304
167;853.051; 0.13847243;6302
168;1554.635; 0.13071868;7308
169;1265.240; 0.10230027;7309
170;1181.581; 0.13924669;7305
171;1666.969; 0.11929579;7306
172;742.768; 0.13019435;7302
173;2413.172; 0.23301985;7301
174;1144.001; 0.10577823;7303
175;937.484; 0.11252307;7307
176;840.065; 0.1157771;7103
177;1584.842; 0.16668213;7304
178;1330.926; 0.11732007;7108
179;1884.385; 0.12219541;7110
180;1345.283; 0.14233045;7102
181;1296.877; 0.13501111;7106
182;1183.020; 0.11349302;7107
183;2390.556; 0.26121872;7101
184;1006.556; 0.14478758;7105
185;1307.841; 0.15178271;7109
186;1788.269; 0.11883149;7104
187;1520.913; 0.16091059;7406
188;1219.992; 0.15192819;7407
189;915.719; 0.15152883;7402
190;666.738; 0.12362093;7202
191;1040.225; 0.15218421;7408
192;2247.463; 0.13290593;7203
193;1996.687; 0.18924373;7401
194;1151.395; 0.14880571;7403
195;1076.094; 0.14611646;7201
196;1324.006; 0.13781121;7405
197;1085.301; 0.13805723;16202
198;2183.890; 0.15175312;7404
199;1316.866; 0.13181751;16201
200;1029.946; 0.14065655;16303
201;724.234; 0.10920656;16204
202;1853.550; 0.1616758;16301
203;1342.399; 0.13264369;16207
204;1196.399; 0.11315246;16203
205;1361.537; 0.11863177;16305
206;916.870; 0.12011812;16205
207;1120.981; 0.15420287;16304
208;2136.729; 0.23790578;16101
209;1609.075; 0.15593145;8111
210;963.746; 0.14228828;16302
211;1910.516; 0.15290466;16103
212;1066.200; 0.13626428;16206
213;1212.725; 0.14061743;16106
214;1600.240; 0.15033432;8107
215;1876.404; 0.13929493;16102
216;1742.051; 0.15228982;16107
217;2063.998; 0.19295302;8110
218;1720.010; 0.15338702;8112
219;1046.679; 0.14526848;16108
220;3421.074; 0.2990945;8101
221;1475.175; 0.13197434;8104
222;1601.754; 0.19542645;8108
223;1132.660; 0.1429213;16104
224;1153.527; 0.14123732;8103
225;1233.683; 0.15254031;8105
226;2147.168; 0.13130992;16105
227;1710.333; 0.18662604;8102
228;1835.989; 0.12989943;8303
229;1759.544; 0.14140887;8106
230;2110.580; 0.13805799;8313
231;1430.860; 0.10970554;16109
232;2148.727; 0.13382967;8109
233;2423.134; 0.133540112;8202
234;2122.312; 0.12092866;8310
235;1723.200; 0.11580646;8304
236;1409.738; 0.12701969;8312
237;903.405; 0.12110318;8302
238;2252.429; 0.27127176;8301
239;879.121; 0.12855017;8309
240;2042.380; 0.1159606;8205
241;1499.893; 0.11497245;8306
242;1407.647; 0.12787534;8307
243;1613.914; 0.15202908;8201
244;1415.074; 0.14713828;8206
245;1222.344; 0.15318783;8311
246;1811.694; 0.14324922;9209
247;883.477; 0.12190659;8308
248;1890.797; 0.1612546;8305
249;1705.149; 0.15911011;9201
250;1863.137; 0.15528639;8203
251;603.562; 0.19716;8314
252;1418.063; 0.15690195;9202
253;1627.101; 0.13415604;9206
254;1292.153; 0.13493917;8204
255;1407.871; 0.16009575;9208
256;1329.693; 0.17887993;9204
257;1072.574; 0.15159281;9207
258;2009.513; 0.14963846;9211
259;1756.295; 0.14739466;9210
260;1246.725; 0.15596798;8207
261;896.399; 0.171110112;9106
262;923.756; 0.14986465;9113
263;1279.728; 0.15948535;9203
264;974.026; 0.15924017;9205
265;1402.592; 0.15936212;9108
266;1047.665; 0.17276097;9121
267;1360.844; 0.15538168;9119
268;972.130; 0.17565178;9102
269;2261.081; 0.34214216;9101
270;1894.508; 0.17783291;9111
271;1017.487; 0.1834437;9112
272;927.163; 0.17912662;9116
273;921.074; 0.15972804;9110
274;1090.386; 0.15130323;9103
275;1302.829; 0.15311085;9105
276;1383.886; 0.14863132;9114
277;925.574; 0.16828771;9117
278;1746.263; 0.15745087;9107
279;1010.707; 0.15164309;9118
280;2334.104; 0.17325909;9115
281;1856.392; 0.18325627;9120
282;1045.252; 0.19423389;9104
283;1529.583; 0.15318795;9109
284;1898.681; 0.14685612;14106
285;1013.381; 0.14380164;14103
286;1464.157; 0.15409729;14108
287;1462.226; 0.13799411;14105
288;2618.023; 0.25111505;14101
289;2007.113; 0.13133203;14104
290;1287.001; 0.11933718;14102
291;1206.665; 0.15001064;14107
292;1700.256; 0.13504578;14202
293;1624.950; 0.14355434;14201
294;845.645; 0.12723215;14203
295;1185.999; 0.13034284;14204
296;1052.332; 0.14292065;10307
297;1820.021; 0.23389919;10301
298;1605.626; 0.18121212;10306
299;914.557; 0.13476697;10304
300;1353.733; 0.12618052;10305
301;1355.336; 0.13251961;10303
302;1129.015; 0.12801193;10302
303;1611.882; 0.13101574;10105
304;1220.672; 0.14460051;10104
305;1508.931; 0.12384784;10107
306;1927.614; 0.13472876;10109
307;661.769; 0.13448077;10106
308;2273.181; 0.33107179;10101
309;749.190; 0.12556057;10108
310;553.320; 0.12665502;10103
311;1061.229; 0.13820837;10102
312;1223.328; 0.13750177;10202
313;1422.297; 0.12339368;10403
314;399.088; 0.1149415;10209
315;851.064; 0.12442513;10205
316;609.162; 0.12351516;10204
317;910.084; 0.12299225;10210
318;2044.837; 0.12471729;10201
319;429.082; 0.08766427;10206
320;940.885; 0.12885308;10203
321;757.439; 0.14254836;10207
322;415.842; 0.068007;10401
323;1506.135; 0.13327086;10208
324;663.871; 0.086253;10402
325;658.617; 0.09235321;10404
326;933.416; 0.0803433;11203
327;1090.513; 0.09575766;11102
328;1041.489; 0.10023166;11202
329;1479.831; 0.11668118;11201
330;1150.636; 0.13250881;11101
331;1181.684; 0.10719152;11402
332;1301.476; 0.1211955;11401
333;1264.120; 0.08972881;11301
334;863.558; 0.08926195;11303
335;895.522; 0.07521884;11302
336;758.294; 0.02540658;12402
337;1249.227; 0.11192557;12401
338;1167.315; -0.0001779;12102
339;900.901; 0.01377432;12104
340;478.469; 0.00356234;12103
341;0.000; 0.0330168;12302
342;761.886; 0.13199869;12101
343;826.667; 0.07230325;12301
344;1792.115; 0.0474504;12303
345;657.230; 0.00799517;12201
346;0.000; -1.0;12202
